county,census_tract,population_size,food_insecure_population_percent,food_insecure_population
Bastrop,9501.01,6444,0.1402996116,904.0906971504
Bastrop,9501.02,4630,0.1300682449,602.215973887
Bastrop,9502.01,3274,0.1904734946,623.6102213204
Bastrop,9502.02,5952,0.1924896664,1145.6984944128
Bastrop,9503.01,5519,0.1580022637,872.0144933603
Bastrop,9503.02,5024,0.1689209932,848.6590698368
Bastrop,9503.03,8216,0.1669405675,1371.58370258
Bastrop,9504.01,5612,0.1625976559,912.4980449108
Bastrop,9504.02,2699,0.1169749857,315.7154864043
Bastrop,9504.03,4288,0.1415907937,607.1413233856
Bastrop,9505.03,3929,0.1017613534,399.8203575086
Bastrop,9505.04,3462,0.1084372277,375.4096822974
Bastrop,9505.05,4959,0.1754201738,869.9086418742
Bastrop,9505.06,5415,0.1349738247,730.8832607505
Bastrop,9506.01,3770,0.1259307505,474.758929385
Bastrop,9506.02,2176,0.1374928958,299.1845412608
Bastrop,9507,4402,0.1550445178,682.5059673556
Bastrop,9508.03,2572,0.1813360845,466.396409334
Bastrop,9508.04,6006,0.1910018612,1147.1571783672
Bastrop,9508.05,6588,0.1656382985,1091.225110518
Bastrop,9508.06,3498,0.1223118868,427.8469800264
Bell,201.01,3341,0.1716551221,573.4997629361
Bell,201.02,3496,0.1224271124,428.0051849504
Bell,202.01,8328,0.1108405991,923.0805093048
Bell,202.03,4118,0.1043374454,429.6616001572
Bell,202.04,3681,0.1382742899,508.9876611219
Bell,203.01,9802,0.1452047183,1423.2966487766
Bell,203.02,4922,0.1472350994,724.6911592468
Bell,204.01,3822,0.2343689533,895.7581395126
Bell,204.02,3181,0.2279130327,724.9913570187
Bell,205,3704,0.2021433635,748.739018404
Bell,206,2885,0.1765252623,509.2753817355
Bell,207.01,1308,0.3967606219,518.9628934452
Bell,207.02,1644,0.3105866851,510.6045103044
Bell,208,3018,0.3195376181,964.3645314258
Bell,209,3275,0.3243644054,1062.293427685
Bell,210,3769,0.2783642826,1049.1549811194
Bell,211.01,3032,0.1986735978,602.3783485296
Bell,211.02,3054,0.2144616786,654.9659664444
Bell,212.01,3770,0.2249444301,848.040501477
Bell,212.02,3757,0.1707896492,641.6567120444
Bell,212.03,5045,0.1854380696,935.535061132
Bell,213.01,6172,0.2297224404,1417.8469021488
Bell,213.02,2615,0.1182041459,309.1038415285
Bell,213.04,5349,0.2252662937,1204.9494050013
Bell,213.05,6238,0.1072843104,669.2395282752
Bell,214,4988,0.1389951107,693.3076121716
Bell,215.01,3808,0.2498215345,951.320403376
Bell,215.02,4306,0.137349577,591.427278562
Bell,216.01,6112,0.1890056538,1155.2025560256
Bell,216.02,3058,0.2259473496,690.9469950768
Bell,217.01,6485,0.1302384789,844.5965356665
Bell,217.02,4057,0.1838262911,745.7832629927
Bell,218.01,5667,0.1790168439,1014.4884543813
Bell,218.02,5604,0.1546654137,866.7449783748
Bell,219.01,3727,0.2335373618,870.3937474286
Bell,219.05,3803,0.1875032152,713.0747274056
Bell,219.06,4926,0.1590646428,783.5524304328
Bell,219.07,6710,0.2372899188,1592.215355148
Bell,219.08,6648,0.178989214,1189.920294672
Bell,220.01,4640,0.2807500592,1302.680274688
Bell,220.02,5297,0.1929605243,1022.1118972171
Bell,221.01,4006,0.2772442505,1110.640467503
Bell,221.03,5953,0.2699593103,1607.0677742159
Bell,221.04,4282,0.2859758508,1224.5485931256
Bell,221.05,2195,0.2673311801,586.7919403195
Bell,222,4603,0.246519079,1134.727320637
Bell,223,4042,0.3360943257,1358.4932644794
Bell,224.01,6151,0.2358425985,1450.6678233735
Bell,224.02,7868,0.1607057669,1264.4329739692
Bell,224.03,4557,0.1827084355,832.6023405735
Bell,224.05,2477,0.2387176977,591.3037372029
Bell,224.06,4414,0.1484845818,655.4109440652
Bell,224.07,3537,0.154322183,545.837561271
Bell,225.01,3401,0.274280421,932.827711821
Bell,225.03,4408,0.2199549681,969.5614993848
Bell,225.04,7909,0.1574963444,1245.6385878596
Bell,226,4261,0.2965520923,1263.6084652903
Bell,228.01,2413,0.3485595635,841.0742267255
Bell,229,3981,0.3144143876,1251.6836770356
Bell,230.01,6002,0.1825409832,1095.6109811664
Bell,230.02,3670,0.1985313366,728.610005322
Bell,231.03,4744,0.277246916,1315.259369504
Bell,231.04,2843,0.251683734,715.536855762
Bell,231.09,3440,0.2079223163,715.252768072
Bell,231.1,3791,0.395706881,1500.124785871
Bell,231.11,5368,0.2314495905,1242.421401804
Bell,231.12,4442,0.2092314931,929.4062923502
Bell,231.13,4679,0.2439571096,1141.4753158184
Bell,231.14,4547,0.2218678635,1008.8331753345
Bell,231.15,5899,0.2863917052,1689.4246689748
Bell,231.16,6356,0.1945929741,1236.8329433796
Bell,231.17,5097,0.1971567373,1004.9078900181
Bell,231.18,7050,0.1820853334,1283.70160047
Bell,232.01,1260,0.2070803637,260.921258262
Bell,232.02,4605,0.2535990648,1167.823693404
Bell,232.03,1856,0.2346496427,435.5097368512
Bell,232.04,4032,0.2115408045,852.932523744
Bell,233.01,5493,0.1330324624,730.7473159632
Bell,233.02,3942,0.156762374,617.957278308
Bell,234.02,5726,0.1439611815,824.321725269
Bell,234.04,4986,0.1332464401,664.3667503386
Bell,234.05,3368,0.1218280859,410.3169933112
Bell,234.06,3871,0.1110999192,430.0677872232
Bell,235,1973,0.3570997639,704.5578341747
Bell,9800.01,161,0.1769158466,28.4834513026
Bell,9800.02,0,0.16492,0
Bell,9800.03,0,0.16492,0
Blanco,9501.01,2842,0.1422757664,404.3477281088
Blanco,9501.02,2023,0.1068624921,216.1828215183
Blanco,9502.01,3433,0.1383917655,475.0989309615
Blanco,9502.02,3310,0.1277336453,422.798365943
Burnet,9601.01,5425,0.1395947554,757.301548045
Burnet,9601.02,2683,0.1082814275,290.5190699825
Burnet,9602,3275,0.1235736785,404.7037970875
Burnet,9603.01,2564,0.2070372414,530.8434869496
Burnet,9603.02,4667,0.1171608924,546.7898848308
Burnet,9604.01,3220,0.1272626096,409.785602912
Burnet,9604.02,3004,0.1379799747,414.4918439988
Burnet,9605.01,3960,0.1522859788,603.052476048
Burnet,9605.02,2119,0.1173831684,248.7349338396
Burnet,9606,4371,0.1111504074,485.8384307454
Burnet,9607.01,3020,0.1650101656,498.330700112
Burnet,9607.02,4366,0.1931807874,843.4273177884
Burnet,9608.01,2830,0.1361930596,385.426358668
Burnet,9608.02,2560,0.1226656232,314.023995392
Burnet,9608.03,1620,0.1115968121,180.786835602
Caldwell,9601.02,5493,0.1510595704,829.7702202072
Caldwell,9601.03,6099,0.1908185322,1163.8022278878
Caldwell,9601.04,2532,0.1556087492,394.0013529744
Caldwell,9602,5869,0.2441259422,1432.7751547718
Caldwell,9603,4381,0.1424900242,624.2487960202
Caldwell,9604,4455,0.2122386984,945.523401372
Caldwell,9605.01,5378,0.2226811392,1197.5791666176
Caldwell,9605.02,3192,0.1539986898,491.5638178416
Caldwell,9606,2722,0.1156620973,314.8322288506
Caldwell,9607.01,3119,0.2246777808,700.7699983152
Caldwell,9607.02,2901,0.1755727784,509.3366301384
Coryell,101.01,5022,0.1432009085,719.154962487
Coryell,101.02,4007,0.1417980731,568.1848789117
Coryell,102.01,8525,0.2167995531,1848.2161901775
Coryell,102.02,5144,0.1819428644,935.9140944736
Coryell,103,2349,0.193548469,454.645353681
Coryell,104,4255,0.1543347206,656.694236153
Coryell,105.01,2780,0.2373943998,659.956431444
Coryell,105.02,3468,0.2583223552,895.8619278336
Coryell,105.03,5606,0.180515355,1011.96908013
Coryell,105.04,2226,0.2667317497,593.7448748322
Coryell,106.01,4125,0.2472327716,1019.83518285
Coryell,106.03,6853,0.1805917755,1237.5954375015
Coryell,106.04,7082,0.1561134679,1105.5955796678
Coryell,107.01,4684,0.1696527532,794.6534959888
Coryell,107.02,2597,0.2185452745,567.5620778765
Coryell,108.02,6663,0.1712748438,1141.2042842394
Coryell,108.03,2573,0.1455986501,374.6253267073
Coryell,108.04,4279,0.1925515871,823.9282412009
Coryell,9800,689,0.1855539903,127.8466993167
Falls,2,3364,0.2105757692,708.3768875888
Falls,3,3429,0.2659732822,912.0223846638
Falls,4,1948,0.343777783,669.679121284
Falls,5,2272,0.1224360309,278.1746622048
Falls,7,2763,0.1479751535,408.8553491205
Falls,8,3237,0.1621546232,524.8945152984
Fayette,9701,2038,0.1310682398,267.1170727124
Fayette,9702,2255,0.1030538192,232.386362296
Fayette,9703.01,1255,0.1071501763,134.4734712565
Fayette,9703.02,4477,0.181075493,810.674982161
Fayette,9704,3580,0.1195182107,427.875194306
Fayette,9705,4430,0.1514506368,670.926321024
Fayette,9706.01,776,0.0938417758,72.8212180208
