county,census_tract,population,food_insecure_population_percent,food_insecure_population
Bastrop,9501.01,6490,0.1683542105,1092.618826145
Bastrop,9501.02,5168,0.167346518,864.846805024
Bastrop,9502.01,3943,0.1980625809,780.9607564887
Bastrop,9502.02,6344,0.1981752679,1257.2238995576
Bastrop,9503.01,5419,0.180262312,976.841468728
Bastrop,9503.02,5069,0.1813336463,919.1802530947
Bastrop,9503.03,9021,0.1857914032,1676.0242482672
Bastrop,9504.01,5141,0.2073586592,1066.0308669472
Bastrop,9504.02,2712,0.1426178838,386.7797008656
Bastrop,9504.03,4573,0.1716346415,784.8852155795
Bastrop,9505.03,4054,0.1497114752,606.9303204608
Bastrop,9505.04,3850,0.1527725113,588.174168505
Bastrop,9505.05,5483,0.1983272313,1087.4282092179
Bastrop,9505.06,5636,0.1680692929,947.2385347844
Bastrop,9506.01,3718,0.1532931705,569.944007919
Bastrop,9506.02,2134,0.1554872258,331.8097398572
Bastrop,9507,4690,0.1909632032,895.617423008
Bastrop,9508.03,2409,0.2095848414,504.8898829326
Bastrop,9508.04,6536,0.2266177519,1481.1736264184
Bastrop,9508.05,6679,0.20873232,1394.12316528
Bastrop,9508.06,3301,0.1677024945,553.5859343445
Bell,201.01,3637,0.2017074429,733.6099698273
Bell,201.02,3842,0.1385976082,532.4920107044
Bell,202.01,8240,0.1321917797,1089.260264728
Bell,202.03,4351,0.1200841013,522.4859247563
Bell,202.04,3242,0.1326369259,430.0089137678
Bell,203.01,10434,0.1866683117,1947.6971642778
Bell,203.02,5855,0.1570317792,919.421067216
Bell,204.01,3923,0.2483740369,974.3713467587
Bell,204.02,3302,0.253219102,836.129474804
Bell,205,3566,0.2375336069,847.0448422054
Bell,206,2780,0.2083113928,579.105671984
Bell,207.01,1373,0.4033736765,553.8320578345
Bell,207.02,1330,0.2868574283,381.520379639
Bell,208,3353,0.3469910041,1163.4608367473
Bell,209,3565,0.3013792248,1074.416936412
Bell,210,3786,0.2892012115,1094.915786739
Bell,211.01,3070,0.2219352449,681.341201843
Bell,211.02,2938,0.2331855819,685.0992396222
Bell,212.01,3719,0.2502337247,930.6192221593
Bell,212.02,3906,0.2053786874,802.2091529844
Bell,212.03,4762,0.1987879014,946.6279864668
Bell,213.01,6365,0.2575177813,1639.1006779745
Bell,213.02,2671,0.1682730032,449.4571915472
Bell,213.04,5441,0.2312777047,1258.3819912727
Bell,213.05,6560,0.1283174423,841.762421488
