county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,total_snap_payments,avg_snap_payment,month,year,payment_inflation_adjusted
Bastrop,4957,11907,2013,4672,4277,365,580,"$1,333,810",$269.08,January,2018,$351.70
Bell,22774,55611,9284,19725,23156,1368,2078,"$6,145,950",$269.87,January,2018,$352.74
Blanco,259,575,89,184,236,19,47,"$57,372",$221.51,January,2018,$289.53
Burnet,1839,4352,694,1526,1642,162,328,"$444,488",$241.70,January,2018,$315.92
Caldwell,2688,6752,1127,2593,2460,195,377,"$734,167",$273.13,January,2018,$357.00
Coryell,3544,8579,1412,2898,3707,213,349,"$911,730",$257.26,January,2018,$336.25
Falls,1371,2885,447,892,1165,147,234,"$292,946",$213.67,January,2018,$279.28
Fayette,918,2036,307,726,775,78,150,"$210,500",$229.30,January,2018,$299.71
Freestone,1117,2449,368,827,1001,83,170,"$262,608",$235.10,January,2018,$307.29
Gillespie,630,1568,236,590,584,46,112,"$158,124",$250.99,January,2018,$328.06
Hays,6162,15224,2545,5790,5789,368,732,"$1,671,369",$271.24,January,2018,$354.53
Lampasas,1102,2553,359,838,1126,83,147,"$266,918",$242.21,January,2018,$316.58
Lee,881,2102,351,789,790,57,115,"$226,241",$256.80,January,2018,$335.65
Limestone,1727,3974,616,1390,1607,103,258,"$410,670",$237.79,January,2018,$310.80
Llano,930,1981,299,576,810,106,190,"$203,222",$218.52,January,2018,$285.62
McLennan,16775,38380,6486,13411,15414,1216,1853,"$4,163,842",$248.22,January,2018,$324.44
Milam,2008,4523,649,1545,1829,187,313,"$493,999",$246.02,January,2018,$321.56
Mills,182,396,53,121,170,18,34,"$38,880",$213.63,January,2018,$279.23
San Saba,341,780,125,233,332,30,60,"$81,831",$239.97,January,2018,$313.65
Travis,46818,102907,17971,39695,36542,2896,5803,"$11,980,843",$255.90,January,2018,$334.48
Williamson,11913,29487,4839,11116,11073,676,1783,"$3,199,566",$268.58,January,2018,$351.05
Bastrop,4924,11819,1993,4652,4231,360,583,"$1,340,994",$272.34,February,2018,$354.36
Bell,22564,55135,9222,19578,22893,1377,2065,"$6,163,832",$273.17,February,2018,$355.44
Blanco,258,556,89,174,223,20,50,"$54,529",$211.35,February,2018,$275.00
Burnet,1834,4342,697,1528,1636,162,319,"$448,712",$244.66,February,2018,$318.34
Caldwell,2680,6656,1123,2541,2415,199,378,"$732,614",$273.36,February,2018,$355.68
