county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,white,black,native_american,asian,pacific_islander,multi_race,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total_snap_payments,avg_snap_payment,month,year
ANDERSON,3310,7502,1114,2530,3172,255,431,3818,1800,24,21,11,50,1778,1215,5381,906,"$808,941",$244,January,2018
ANDREWS,789,1918,322,693,728,45,130,1304,51,4,4,1,11,543,1229,521,168,"$223,483",$283,January,2018
ANGELINA,6818,15746,2507,5543,6424,499,773,7138,3789,46,50,14,81,4628,3578,10391,1777,"$1,678,562",$246,January,2018
ARANSAS,1698,3619,421,1095,1689,165,249,2392,104,22,43,8,14,1036,1344,1890,385,"$424,719",$250,January,2018
ARCHER,308,689,103,229,290,31,36,513,16,8,5,0,8,139,92,524,73,"$65,573",$213,January,2018
ARMSTRONG,54,134,20,53,51,2,8,101,2,0,0,0,1,30,26,90,18,"$12,295",$228,January,2018
ATASCOSA,3844,9886,1548,3618,3806,315,599,5966,117,18,21,46,8,3710,7099,1812,975,"$1,096,227",$285,January,2018
AUSTIN,1323,3075,556,1113,1096,107,203,1389,651,12,14,3,18,988,1074,1637,364,"$322,217",$244,January,2018
BAILEY,388,1112,195,438,373,22,84,598,14,2,2,2,1,493,845,163,104,"$108,410",$279,January,2018
BANDERA,946,2108,300,652,909,93,154,1532,23,16,4,6,3,524,533,1286,289,"$228,140",$241,January,2018
BASTROP,4957,11907,2013,4672,4277,365,580,6784,1309,67,54,22,116,3555,5474,4879,1554,"$1,333,810",$269,January,2018
BAYLOR,260,558,71,167,240,32,48,406,32,4,0,3,2,111,79,414,65,"$54,079",$208,January,2018
BEE,2516,5909,920,1944,2465,195,385,3733,195,13,16,14,11,1927,4376,1005,528,"$633,919",$252,January,2018
BELL,22774,55611,9284,19725,23156,1368,2078,20094,18437,267,624,535,1028,14626,14574,34081,6956,"$6,145,950",$270,January,2018
BEXAR,132412,314619,50595,112378,122985,9129,19532,151384,30812,944,3279,836,1424,125940,217933,66991,29695,"$35,276,642",$266,January,2018
BLANCO,259,575,89,184,236,19,47,413,12,6,1,0,3,140,175,322,78,"$57,372",$222,January,2018
BORDEN,20,55,10,28,15,1,1,41,1,0,0,0,0,13,26,22,7,"$7,286",$364,January,2018
BOSQUE,1006,2275,312,729,991,90,153,1537,112,10,13,2,13,588,518,1452,305,"$240,122",$239,January,2018
BOWIE,7140,16146,2724,5403,6629,545,845,6018,6478,49,46,16,135,3404,890,13472,1784,"$1,723,993",$241,January,2018
BRAZORIA,14634,34987,5873,12816,13344,947,2007,17260,5412,115,624,41,227,11308,14035,17077,3875,"$3,994,056",$273,January,2018
