county,mae
llano,11.774407690749499
bastrop,10.955208894343855
fayette,10.622112736241457
mills,9.705496385409026
gillespie,7.779298861342677
caldwell,7.100405280881461
mclennan,7.024564273285283
san saba,6.576145843632337
falls,6.439877649262878
travis,6.146543414950922
burnet,5.4119769535268745
williamson,5.036696022527508
coryell,4.81030655725787
lee,4.749040549479588
lampasas,4.738851091786917
freestone,4.359357097195854
blanco,4.029576982750275
limestone,3.7154272336511887
bell,3.460653140443734
milam,3.3595126236188313
hays,3.2250376986867053
