county,year,month,month_num,actual_cases_per_1000_eligible,predicted_cases_per_1000_eligible,absolute_error
bastrop,2025,January,1,441.22163453335605,430.67065,10.550980236481053
bell,2025,January,1,439.26075726328014,436.3134,2.9473722535145157
blanco,2025,January,1,514.8861646234676,518.1918,3.3056078374698927
burnet,2025,January,1,480.26892721426486,486.7465,6.477563264250762
caldwell,2025,January,1,423.0889235569423,428.15167,5.062748806338959
coryell,2025,January,1,416.5404775771695,424.12424,7.583759483377378
falls,2025,January,1,487.0905587668594,482.3301,4.760450124281249
fayette,2025,January,1,475.189725627554,483.73264,8.54290987049285
freestone,2025,January,1,479.6511627906977,478.24634,1.404824900072697
gillespie,2025,January,1,446.535500427716,450.0978,3.562308410174637
hays,2025,January,1,436.61185231151103,433.91992,2.6919304365110293
lampasas,2025,January,1,469.1252144082333,477.8965,8.771300484344806
lee,2025,January,1,475.07331378299125,471.7075,3.3658247693193744
limestone,2025,January,1,490.85923217550277,486.15692,4.702310788784018
llano,2025,January,1,506.0,509.32953,3.32952880859375
mclennan,2025,January,1,469.3193319838057,466.71817,2.6011618177900573
milam,2025,January,1,488.94557823129253,484.2165,4.729086532073779
mills,2025,January,1,514.8514851485148,526.895,12.043534382735174
san saba,2025,January,1,468.97546897546897,470.4115,1.4360300479685293
travis,2025,January,1,511.9517289394291,506.86337,5.088356136694699
williamson,2025,January,1,445.5545125385544,449.28488,3.730369053242498
bastrop,2025,February,2,440.36542040263913,431.99597,8.369448722951631
bell,2025,February,2,439.10185980542957,436.9637,2.1381452058201944
blanco,2025,February,2,505.338078291815,503.3748,1.963291914861884
burnet,2025,February,2,477.94332456909143,487.4071,9.46377992309607
caldwell,2025,February,2,418.7927815805849,428.11575,9.32297159324321
coryell,2025,February,2,417.3182401680476,420.69034,3.3720979667180018
falls,2025,February,2,491.2905779889153,483.277,8.013569932274663
fayette,2025,February,2,473.1182795698925,480.6181,7.499823457451271
freestone,2025,February,2,477.48864105741427,474.00833,3.480309758586145
gillespie,2025,February,2,446.535500427716,453.98193,7.446433166034012
hays,2025,February,2,436.5571205007825,435.24713,1.3099891531262529
lampasas,2025,February,2,478.6399302528335,480.97705,2.3371205284165057
lee,2025,February,2,473.7762237762238,472.28482,1.4914032195831624
limestone,2025,February,2,488.7623614024573,487.88193,0.8804339122229408
llano,2025,February,2,508.8607594936709,499.73328,9.127483126483412
mclennan,2025,February,2,469.48756784046446,465.4706,4.0169562681988396
milam,2025,February,2,485.73043232551566,483.86462,1.8658083020781646
mills,2025,February,2,517.4129353233831,521.0748,3.661893778179433
san saba,2025,February,2,481.4264487369985,474.15717,7.269283209654759
travis,2025,February,2,512.2194629470606,507.13562,5.083842829873106
williamson,2025,February,2,445.40710510470325,449.7509,4.343779905062377
bastrop,2025,March,3,440.25852538481166,432.56543,7.693095697311662
bell,2025,March,3,439.98236543625507,437.8264,2.1559799382081906
blanco,2025,March,3,500.0,502.58746,2.58746337890625
burnet,2025,March,3,477.2857964347326,486.93652,9.650727002767383
caldwell,2025,March,3,422.5485551871151,428.0999,5.551359363666165
coryell,2025,March,3,417.2224172224172,421.2601,4.037684095942154
falls,2025,March,3,493.0251096054205,483.98413,9.040978746045482
fayette,2025,March,3,477.30061349693256,481.20074,3.900131131973694
freestone,2025,March,3,477.26324572382146,475.0521,2.2111522179620806
gillespie,2025,March,3,447.5043029259897,453.88635,6.382049613072809
hays,2025,March,3,435.0124378109453,435.5355,0.5230541324140745
lampasas,2025,March,3,478.3759929390997,481.61972,3.243727519884658
lee,2025,March,3,469.4234129295283,472.75974,3.336322177893578
limestone,2025,March,3,488.882120012184,487.48584,1.3962801684339752
llano,2025,March,3,513.164687661332,510.67755,2.487136391800732
mclennan,2025,March,3,469.9936628643853,465.92236,4.071299583135328
milam,2025,March,3,485.2691218130312,482.44055,2.8285700552186768
mills,2025,March,3,514.1388174807198,506.02014,8.118675879157308
san saba,2025,March,3,478.78787878787875,476.96643,1.8214481238162534
travis,2025,March,3,512.1518105849582,508.27905,3.8727578505831843
williamson,2025,March,3,444.2408289741112,449.86563,5.624802129404429
bastrop,2025,April,4,439.3048811653463,432.6189,6.6859846809712735
bell,2025,April,4,439.11453858909556,438.31125,0.8032898097986845
blanco,2025,April,4,492.17391304347825,483.8666,8.307305377462626
burnet,2025,April,4,479.52367121696193,486.26373,6.7400616931943205
caldwell,2025,April,4,418.2159037650367,429.07162,10.855720990822647
coryell,2025,April,4,419.9763593380615,422.03265,2.0562944705322366
falls,2025,April,4,492.7710843373494,485.21216,7.558926134224407
fayette,2025,April,4,474.6682750301568,482.00345,7.335173456171333
freestone,2025,April,4,476.1295822676897,475.45422,0.6753586348772274
gillespie,2025,April,4,453.75972342264475,456.79196,3.032238247277121
hays,2025,April,4,434.3565891472868,435.5972,1.2406093390413275
lampasas,2025,April,4,478.0292942743009,477.289,0.7402928094571735
lee,2025,April,4,467.77905638665135,469.4979,1.718837900458027
limestone,2025,April,4,491.71097904285267,489.133,2.5779834373839208
llano,2025,April,4,519.6182396606574,511.86508,7.753157873548048
mclennan,2025,April,4,470.1457154597465,466.29663,3.849084600371498
milam,2025,April,4,483.7142857142857,478.53867,5.175619942801347
mills,2025,April,4,500.0,496.6015,3.39849853515625
san saba,2025,April,4,488.5145482388974,477.19443,11.320120748663044
travis,2025,April,4,510.98575167199766,508.92007,2.0656772091070366
williamson,2025,April,4,444.200219802178,450.29117,6.090948410712599
bastrop,2025,May,5,437.6117877523209,434.15353,3.458253816774004
bell,2025,May,5,438.3578112164139,438.57822,0.2204053363204821
blanco,2025,May,5,495.63699825479927,483.62543,12.011571008705516
burnet,2025,May,5,481.4705882352941,486.29584,4.8252491670496624
caldwell,2025,May,5,414.33405106121194,428.43265,14.098596643866188
coryell,2025,May,5,420.10707911957167,422.78357,2.676490216365835
falls,2025,May,5,489.20000000000005,486.0199,3.1801025390625455
fayette,2025,May,5,473.6196319018405,484.96667,11.347042902847022
freestone,2025,May,5,471.714164185453,478.06976,6.355598998140749
gillespie,2025,May,5,458.041958041958,459.22433,1.1823766748388493
hays,2025,May,5,432.4158269845171,436.3653,3.949468425639168
lampasas,2025,May,5,479.31654676258995,479.2619,0.05464490712120096
lee,2025,May,5,468.5354691075515,468.73154,0.19606775768289708
limestone,2025,May,5,492.56093700538145,489.2656,3.2953425229595723
llano,2025,May,5,514.0625,502.78665,11.275848388671875
mclennan,2025,May,5,468.1122042856688,466.73694,1.3752658091062813
milam,2025,May,5,484.09286328460877,481.00336,3.089506351015018
mills,2025,May,5,508.6848635235732,510.60153,1.916668458848676
san saba,2025,May,5,487.8048780487805,480.10544,7.69943981635862
travis,2025,May,5,509.4513546941728,508.30542,1.1459347722977782
williamson,2025,May,5,443.02820917049604,450.916,7.887775936925834
bastrop,2025,June,6,435.0141740400309,432.77908,2.235090788077798
bell,2025,June,6,437.18441328532055,437.21774,0.03332963460132987
blanco,2025,June,6,488.6164623467601,490.41544,1.7989734442555232
burnet,2025,June,6,479.1358390056229,484.3792,5.243372420158323
caldwell,2025,June,6,411.46398140975987,428.24884,16.784858922271383
coryell,2025,June,6,419.5694242864054,422.27695,2.7075227350789532
falls,2025,June,6,486.42172523961665,484.00412,2.4176053665697737
fayette,2025,June,6,462.5766871165644,483.0951,20.518405656873085
freestone,2025,June,6,473.3650931139021,475.2332,1.8680917005510196
gillespie,2025,June,6,444.63229078613693,461.3135,16.68121629394119
hays,2025,June,6,432.86622631026603,436.60922,3.742996101843346
lampasas,2025,June,6,477.818853974122,477.32346,0.4953981635751461
lee,2025,June,6,463.20593268682256,468.77087,5.564941336614936
limestone,2025,June,6,489.04414099714194,488.80823,0.23591345807943753
llano,2025,June,6,507.9527963057978,499.1648,8.78800138392279
mclennan,2025,June,6,467.4336910631989,460.95593,6.477758446011421
milam,2025,June,6,478.92271662763466,478.5873,0.33540583661903156
mills,2025,June,6,490.38461538461536,508.28247,17.89785531850964
san saba,2025,June,6,490.41533546325877,483.12973,7.285605238649396
travis,2025,June,6,510.7117605467829,508.17535,2.536406542876648
williamson,2025,June,6,441.29581810255206,450.7534,9.457569348619813
bastrop,2025,July,7,439.07239431798735,430.5939,8.47849173009672
bell,2025,July,7,438.79981584899616,435.03555,3.764262870480536
blanco,2025,July,7,486.8651488616462,489.85123,2.986077944994406
burnet,2025,July,7,477.70888692057866,483.6344,5.925512493483836
caldwell,2025,July,7,415.6065777226187,423.5062,7.899617345740694
coryell,2025,July,7,417.21854304635764,426.26764,9.049096113798612
falls,2025,July,7,493.0950446791227,487.49246,5.6025825209195546
fayette,2025,July,7,469.19726197884256,486.8103,17.613040755532438
freestone,2025,July,7,479.8598949211909,479.52472,0.3351756829096644
