county,year,month,month_num,number_of_cases,prev_month_cases,next_month_cases,abs_change,pct_change
coryell,2024,September,9,3398,1733.0,1813.0,1665.0,0.9607616849394114
coryell,2024,November,11,3557,1813.0,3553.0,1744.0,0.9619415333701048
fayette,2024,October,10,1837,834.0,833.0,1003.0,1.2026378896882495
fayette,2024,November,11,833,1837.0,812.0,-1004.0,-0.5465432770821992
hays,2024,August,8,382,6119.0,6485.0,-5737.0,-0.9375714986108842
hays,2024,September,9,6485,382.0,384.0,6103.0,15.976439790575917
hays,2024,October,10,384,6485.0,6879.0,-6101.0,-0.9407864302235929
hays,2024,November,11,6879,384.0,6891.0,6495.0,16.9140625
limestone,2024,August,8,8375,1501.0,1607.0,6874.0,4.579613590939374
limestone,2024,September,9,1607,8375.0,8878.0,-6768.0,-0.8081194029850747
limestone,2024,October,10,8878,1607.0,1629.0,7271.0,4.524579962663348
limestone,2024,November,11,1629,8878.0,1614.0,-7249.0,-0.8165127280919126
mclennan,2024,August,8,574,14167.0,14652.0,-13593.0,-0.9594833062751464
mclennan,2024,September,9,14652,574.0,588.0,14078.0,24.526132404181183
mclennan,2024,October,10,588,14652.0,14967.0,-14064.0,-0.9598689598689598
mclennan,2024,November,11,14967,588.0,14869.0,14379.0,24.45408163265306
milam,2024,August,8,5983,1581.0,1645.0,4402.0,2.784313725490196
milam,2024,September,9,1645,5983.0,6476.0,-4338.0,-0.7250543205749624
milam,2024,October,10,6476,1645.0,1717.0,4831.0,2.93677811550152
milam,2024,November,11,1717,6476.0,1709.0,-4759.0,-0.7348672019765288
mills,2024,August,8,1619,192.0,210.0,1427.0,7.432291666666667
mills,2024,September,9,210,1619.0,1705.0,-1409.0,-0.8702903026559605
mills,2024,October,10,1705,210.0,209.0,1495.0,7.119047619047619
mills,2024,November,11,209,1705.0,205.0,-1496.0,-0.8774193548387097
san saba,2024,August,8,4900,280.0,302.0,4620.0,16.5
san saba,2024,September,9,302,4900.0,5046.0,-4598.0,-0.9383673469387755
san saba,2024,October,10,5046,302.0,321.0,4744.0,15.708609271523178
san saba,2024,November,11,321,5046.0,321.0,-4725.0,-0.9363852556480381
travis,2024,August,8,6086,38314.0,41299.0,-32228.0,-0.8411546693114789
travis,2024,September,9,41299,6086.0,6355.0,35213.0,5.785902070325337
travis,2024,October,10,6355,41299.0,43708.0,-34944.0,-0.8461221821351607
travis,2024,November,11,43708,6355.0,43819.0,37353.0,5.8777340676632575
williamson,2024,August,8,2205,11432.0,12288.0,-9227.0,-0.8071203638908327
williamson,2024,September,9,12288,2205.0,2278.0,10083.0,4.572789115646258
williamson,2024,October,10,2278,12288.0,13170.0,-10010.0,-0.8146158854166666
williamson,2024,November,11,13170,2278.0,13205.0,10892.0,4.781387181738367
