county,month_num,month,2024,2025
bastrop,1,January,4602.0,5172.0
bastrop,2,February,4596.0,5206.0
bastrop,3,March,4609.0,5177.0
bastrop,4,April,4616.0,5157.0
bastrop,5,May,4610.0,5138.0
bastrop,6,June,4648.0,5064.0
bastrop,7,July,4664.0,5131.0
bastrop,8,August,4836.0,5137.0
bastrop,9,September,5008.0,5143.0
bastrop,10,October,5119.0,5060.5
bastrop,11,November,5230.0,4978.0
bastrop,12,December,5191.0,4905.0
bell,1,January,19177.0,21938.0
bell,2,February,19045.0,21981.0
bell,3,March,19115.0,21956.0
bell,4,April,19144.0,21979.0
bell,5,May,19174.0,21878.0
bell,6,June,19385.0,21732.0
bell,7,July,19648.0,21922.0
bell,8,August,20323.5,22153.0
bell,9,September,20999.0,22384.0
bell,10,October,21448.5,22095.0
bell,11,November,21898.0,21806.0
bell,12,December,21832.0,21481.0
blanco,1,January,270.0,294.0
blanco,2,February,265.0,284.0
blanco,3,March,276.0,283.0
blanco,4,April,274.0,283.0
blanco,5,May,266.0,284.0
blanco,6,June,268.0,279.0
blanco,7,July,274.0,278.0
blanco,8,August,270.0,276.5
blanco,9,September,266.0,275.0
blanco,10,October,277.0,276.0
blanco,11,November,288.0,277.0
blanco,12,December,289.0,284.0
burnet,1,January,1465.0,1643.0
burnet,2,February,1481.0,1636.0
burnet,3,March,1480.0,1660.0
burnet,4,April,1478.0,1651.0
burnet,5,May,1462.0,1637.0
burnet,6,June,1468.0,1619.0
burnet,7,July,1469.0,1618.0
burnet,8,August,1510.5,1639.0
burnet,9,September,1552.0,1660.0
burnet,10,October,1599.5,1639.0
burnet,11,November,1647.0,1618.0
burnet,12,December,1625.0,1597.0
caldwell,1,January,2291.0,2712.0
caldwell,2,February,2299.0,2692.0
caldwell,3,March,2329.0,2676.0
caldwell,4,April,2356.0,2677.0
caldwell,5,May,2354.0,2694.0
caldwell,6,June,2369.0,2656.0
caldwell,7,July,2418.0,2679.0
caldwell,8,August,2507.0,2714.5
caldwell,9,September,2596.0,2750.0
caldwell,10,October,2654.5,2707.5
caldwell,11,November,2713.0,2665.0
caldwell,12,December,2699.0,2620.0
coryell,1,January,3169.0,3576.0
coryell,2,February,3123.0,3576.0
coryell,3,March,3109.0,3566.0
coryell,4,April,3142.0,3553.0
coryell,5,May,3114.0,3531.0
coryell,6,June,3135.0,3469.0
coryell,7,July,3209.0,3528.0
coryell,8,August,3303.5,3550.5
coryell,9,September,3398.0,3573.0
coryell,10,October,3477.5,3492.0
coryell,11,November,3557.0,3411.0
coryell,12,December,3553.0,3332.0
falls,1,January,1205.0,1264.0
falls,2,February,1207.0,1241.0
falls,3,March,1207.0,1237.0
falls,4,April,1200.0,1227.0
falls,5,May,1177.0,1223.0
falls,6,June,1185.0,1218.0
falls,7,July,1196.0,1214.0
falls,8,August,1213.5,1224.5
falls,9,September,1231.0,1235.0
falls,10,October,1248.0,1230.5
falls,11,November,1265.0,1226.0
falls,12,December,1262.0,1165.0
fayette,1,January,781.0,814.0
fayette,2,February,796.0,792.0
fayette,3,March,798.0,778.0
fayette,4,April,801.0,787.0
fayette,5,May,810.0,772.0
fayette,6,June,797.0,754.0
fayette,7,July,802.0,754.0
fayette,8,August,818.0,762.5
fayette,9,September,834.0,771.0
fayette,10,October,833.5,768.5
fayette,11,November,833.0,766.0
fayette,12,December,812.0,753.0
freestone,1,January,1039.0,1155.0
freestone,2,February,1039.0,1156.0
freestone,3,March,1032.0,1144.0
freestone,4,April,1043.0,1117.0
freestone,5,May,1048.0,1109.0
freestone,6,June,1061.0,1093.0
freestone,7,July,1068.0,1096.0
freestone,8,August,1104.5,1111.0
freestone,9,September,1141.0,1126.0
freestone,10,October,1157.5,1107.0
freestone,11,November,1174.0,1088.0
freestone,12,December,1142.0,1058.0
gillespie,1,January,442.0,522.0
gillespie,2,February,437.0,522.0
gillespie,3,March,435.0,520.0
gillespie,4,April,425.0,525.0
gillespie,5,May,445.0,524.0
gillespie,6,June,459.0,526.0
gillespie,7,July,472.0,532.0
gillespie,8,August,486.5,540.5
gillespie,9,September,501.0,549.0
gillespie,10,October,510.0,533.5
gillespie,11,November,519.0,518.0
